Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
4,97-1-D-SAPU,97-1,SAPU,89,76,20,18,25,0,0,0,0,0,0,,,,0,0,0,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
4,97-2-A-BENA,97-2,BENA,102,64,9,0,13,0,0,0,0,0,0,,,,0,0,0,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
4,97-2-B-BENA,97-2,BENA,91,53,13,0,26,0,0,0,0,0,0,,,,0,0,0,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
4,97-2-B-SAPU,97-2,SAPU,189,157,30,52,57,0,0,3,0,0,0.052631579,,,Ptarmagin,1,0,0,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
4,97-2-C-SAPU,97-2,SAPU,118,101,19,0,29,0,0,0,0,0,0,,,,0,0,0,0,888.474156,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,560.389526,70,6.330689,-150.43305,66.348843
4,97-3-A-BENA,97-3,BENA,91,57,10,0,11,0,0,0,0,0,0,,,,0,0,0,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
4,97-3-D-BENA,97-3,BENA,75,49,7,21,13,0,0,0,0,0,0,,,,0,0,0,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
4,97-3-D-SAPU,97-3,SAPU,124,107,24,17,31,0,0,0,0,0,0,,,,0,0,0,0,924.995234,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Gravely Sand Loam,Mesic,2004,557.015015,71,7.919354,-150.432427,66.349149
4,97-4-B-BENA,97-4,BENA,115,59,12,0,13,0,0,0,0,0,0,,,,0,0,0,0,898.750829,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,558.840271,63,3.962788,-150.433152,66.349294
4,97-4-D-BENA,97-4,BENA,98,54,13,0,12,0,0,0,0,0,0,,,,0,0,0,0,898.750829,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,558.840271,63,3.962788,-150.433152,66.349294
