"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"494"	0.287451332652484	-0.0142660098215088	NA	0.104939756644754	-0.201466283899459	0.0317237395353486	-0.0254595171956055	3.25001680070989	NA	-0.0101933448360622	11	-2964.04878014585	5950.18977125923	6.10965947045679	0.00506554053720216
"158"	0.29767433080826	-0.0147755808651506	NA	0.0975414643695192	-0.185207486994576	0.0322773570768051	NA	NA	0.09724520155693	NA	9	-2966.10181673923	5950.26646070358	6.18634891481452	0.00487498062414231
"174"	0.299211920015054	-0.0147656905419785	NA	0.0975784340073865	-0.185198254694703	0.0322813817885412	NA	NA	NA	-0.00940883754302678	9	-2966.10527424845	5950.27337572203	6.19326393326446	0.00485815443877055
"222"	0.283574403700756	-0.0147773691676778	NA	0.098705242298295	-0.185262686824929	0.0323500164215647	NA	3.24159169463807	0.113440870791563	NA	10	-2965.23209560458	5950.54100685162	6.46089506285352	0.00424967732229262
"238"	0.285257478098395	-0.0147672422027741	NA	0.0987428328526158	-0.18525113567619	0.0323537073302338	NA	3.23916912517351	NA	0.0154855956512825	10	-2965.23682698432	5950.55046961109	6.47035782231978	0.00422961797674868
"32"	0.283281462396324	-0.0173106969366655	0.0421701406228931	0.135148417488235	-0.182171570433715	NA	NA	NA	0.126883447721752	NA	9	-2966.27986464165	5950.62255650842	6.54244471965467	0.00407988265709654
"48"	0.285149668169547	-0.0172993264867654	0.0421570221527129	0.135175634856776	-0.182157897694725	NA	NA	NA	NA	0.0188673799640067	9	-2966.2858202988	5950.63446782273	6.5543560339629	0.00405565648774941
"31"	0.286135561333731	NA	0.0417220045319865	0.134158021477975	-0.181089395632763	NA	NA	NA	0.111142963877029	NA	8	-2967.33886675655	5950.72797775595	6.6478659671784	0.00387039900473231
"47"	0.287964418442967	NA	0.0417121359399795	0.134191328408399	-0.181079618017626	NA	NA	NA	NA	-0.0261250563705662	8	-2967.34337899208	5950.737002227	6.65689043823386	0.00385297419482431
"96"	0.268783374675437	-0.0173225460622424	0.04254960235488	0.136824217240338	-0.182219183600056	NA	NA	3.29986470461894	0.145071644450847	NA	10	-2965.3693927792	5950.81560120086	6.73548941209447	0.00370449105139264
"112"	0.270827105230636	-0.0173106866330175	0.042532377632161	0.136847469839903	-0.182203191115222	NA	NA	3.2965551654255	NA	0.0450042084488989	10	-2965.3771209883	5950.83105761906	6.7509458302884	0.00367597231128353
"95"	0.27161207494406	NA	0.0421003241512594	0.135828337074362	-0.181136986254373	NA	NA	3.30621058474496	0.129300108409458	NA	9	-2966.42994204015	5950.92271130543	6.84259951666354	0.00351131576473487
"111"	0.273615500001314	NA	0.0420865333683447	0.135858033197234	-0.18112490125144	NA	NA	3.30299451198487	NA	-6.73828515105934e-06	9	-2966.4361655767	5950.93515837854	6.8550465897697	0.0034895308227303
"319"	0.288678169505074	NA	0.0423470738617989	0.141992394957659	-0.199302266137224	NA	-0.028408649270864	NA	0.100816849466599	-0.0572390565246154	10	-2965.85853389375	5951.79388342995	7.71377164118167	0.0022714190463322
"320"	0.285674239079022	-0.0167277553712684	0.0427613932091019	0.142741801925524	-0.199911099825823	NA	-0.0277315363128511	NA	0.115957291756048	-0.0135261992021435	11	-2964.86977323763	5951.83175744277	7.75164565399882	0.00222880988758373
"446"	0.30009261774585	-0.0142747416166735	NA	0.103730171396895	-0.201372068281516	0.0316504446896152	-0.0253719227537522	NA	0.0887956285999544	-0.0382738302557723	11	-2964.92250317133	5951.93721731018	7.85710552141154	0.0021143296810896
"383"	0.273999566019472	NA	0.0427256989788908	0.143661879093937	-0.199398889695327	NA	-0.02849900952455	3.31975565102442	0.118286263308739	-0.0312296503662707	11	-2964.93935128603	5951.97091353957	7.89080175080289	0.00207900561962139
"384"	0.271020797293752	-0.0167386858254864	0.0431409921764336	0.144416073589401	-0.200007328957465	NA	-0.0278211833482718	3.31347675625033	0.133460895759015	0.0124832692266906	12	-2963.94920789447	5952.00743046399	7.92731867521798	0.00204139061513012
"510"	0.285850494277069	-0.0142761017757979	NA	0.104899929058471	-0.201472366413608	0.0317200796081962	-0.0254523148713616	3.2522469056288	0.104499991831266	-0.0135712977530122	12	-2964.04473946518	5952.19849360542	8.11838181665007	0.00185539883620478
"190"	0.297730460655571	-0.014774873482389	NA	0.0975436214302516	-0.185207985204607	0.032277818389149	NA	NA	0.0973271536909971	-0.0125517525794428	10	-2966.10180509829	5952.28042583904	8.20031405027112	0.00178092619309793
"269"	0.302918393321347	NA	NA	0.0921411691810223	-0.198029984708581	NA	-0.0274623406067877	NA	NA	NA	7	-2969.16859682241	5952.3762588698	8.29614708102781	0.00169760264473176
"270"	0.300550760352913	-0.0161594522164153	NA	0.0924297308728362	-0.198613112493318	NA	-0.0268049868090438	NA	NA	NA	8	-2968.24671242545	5952.54366909374	8.4635573049718	0.00156128926963263
"254"	0.283521258413806	-0.0147780401512311	NA	0.0987032323352727	-0.185262211447397	0.0323495811359926	NA	3.24166723980449	0.113363512826735	0.0118132323747302	11	-2965.23208521942	5952.55638140635	8.47626961758488	0.00155139694288738
