ShrubID;long;lat
268-1-B-BENA;-149.327109;68.400098
268-1-C-BENA;-149.327109;68.400098
268-1-C-SAPU;-149.327109;68.400098
268-1-D-SAPU;-149.327109;68.400098
268-2-A-BENA;-149.326454;68.400307
268-2-A-SAPU;-149.326454;68.400307
268-2-B-SAPU;-149.326454;68.400307
268-3-B-SAPU;-149.326989;68.400547
268-3-C-BENA;-149.326989;68.400547
268-3-D-SAPU;-149.326989;68.400547
268-4-C-BENA;-149.326166;68.400831
268-4-C-SAPU;-149.326166;68.400831
268-4-D-BENA;-149.326166;68.400831
268-4-D-SAPU;-149.326166;68.400831
282-1-B-BENA;-149.530032;68.582817
282-1-C-SAPU;-149.530032;68.582817
282-1-D-BENA;-149.530032;68.582817
282-1-D-SAPU;-149.530032;68.582817
282-2-A-BENA;-149.530916;68.583004
282-2-B-BENA;-149.530916;68.583004
282-2-B-SAPU;-149.530916;68.583004
282-2-D-SAPU;-149.530916;68.583004
282-3-A-SAPU;-149.53038;68.583298
282-3-B-BENA;-149.53038;68.583298
282-3-D-BENA;-149.53038;68.583298
282-3-D-SAPU;-149.53038;68.583298
282-4-A-BENA;-149.531178;68.583423
282-4-C-BENA;-149.531178;68.583423
282-4-C-SAPU;-149.531178;68.583423
282-4-D-SAPU;-149.531178;68.583423
