Shrub ID,Pith
147-1-A-SAPU,0.307
147-1-B-BENA,0.125
147-1-B-BENA,0.16
147-1-B-BENA,0.137
147-1-B-BENA,0.103
147-1-D-SAPU,0.184
147-1-D-SAPU,0.206
147-1-D-SAPU,0.223
147-1-D-SAPU,0.22
147-2-A-BENA,0.07
147-2-A-BENA,0.064
147-2-A-BENA,0.099
147-2-A-BENA,0.068
147-2-B-SAPU,0.217
147-2-B-SAPU,0.191
147-2-B-SAPU,0.224
147-2-B-SAPU,0.191
147-2-C-SAPU,0.491
147-2-C-SAPU,0.606
147-2-C-SAPU,0.547
147-2-C-SAPU,0.655
147-2-D-BENA,0.142
147-2-D-BENA,0.155
147-2-D-BENA,0.13
147-2-D-BENA,0.11
147-3-A-BENA,0.071
147-3-A-BENA,0.091
147-3-A-BENA,0.12
147-3-A-BENA,0.092
147-3-B-SAPU,0.378
147-3-B-SAPU,0.331
147-3-B-SAPU,0.432
147-3-B-SAPU,0.355
147-3-C-BENA,0.125
147-3-C-BENA,0.21
147-3-C-BENA,0.138
147-3-C-BENA,0.309
147-3-C-SAPU,0.623
147-3-C-SAPU,0.795
147-3-C-SAPU,0.799
147-3-C-SAPU,0.69
147-4-A-BENA,0.074
147-4-A-BENA,0.099
147-4-A-BENA,0.085
147-4-A-BENA,0.052
147-4-A-SAPU,0.387
147-4-A-SAPU,0.363
147-4-A-SAPU,0.407
147-4-A-SAPU,0.342
147-4-C-SAPU,0.153
147-4-C-SAPU,0.21
147-4-C-SAPU,0.116
147-4-C-SAPU,0.239
147-4-D-BENA,0.153
147-4-D-BENA,0.21
147-4-D-BENA,0.116
147-4-D-BENA,0.239
151-1-C-BENA,0.144
151-1-C-BENA,0.183
151-1-C-BENA,0.172
151-1-C-BENA,0.155
151-1-D-BENA,0.115
151-1-D-BENA,0.144
151-1-D-BENA,0.205
151-1-D-BENA,0.151
151-2-A-BENA,0.115
151-2-A-BENA,0.134
151-2-A-BENA,0.082
151-2-A-BENA,0.127
151-2-B-BENA,0.15
151-2-B-BENA,0.13
