ShrubID,Radius
129-2-C-SAPU,5.364
129-2-C-SAPU,6.098
129-2-C-SAPU,10.036
129-3-A-BENA,3.546
129-3-A-BENA,4.544
129-3-A-BENA,6.456
129-3-A-BENA,4.592
129-3-B-BENA,6.149
129-3-B-BENA,5.467
129-3-B-BENA,5.964
129-3-B-BENA,5.102
129-4-A-SAPU,7.975
129-4-A-SAPU,10.635
129-4-A-SAPU,12.416
129-4-A-SAPU,9.435
129-4-B-SAPU,10.37
129-4-B-SAPU,16.442
129-4-B-SAPU,
129-4-B-SAPU,9.719
129-4-C-BENA,4.613
129-4-C-BENA,4.508
129-4-C-BENA,6.596
129-4-C-BENA,6.307
129-4-D-BENA,5.14
129-4-D-BENA,6.505
129-4-D-BENA,8.015
129-4-D-BENA,8.127
147-1-A-BENA,3.843
147-1-A-BENA,3.855
147-1-A-BENA,4.038
147-1-A-BENA,3.997
147-1-A-SAPU,9.939
147-1-A-SAPU,10.404
147-1-A-SAPU,
147-1-A-SAPU,11.269
147-1-B-BENA,3.269
147-1-B-BENA,2.498
147-1-B-BENA,2.611
147-1-B-BENA,2.745
147-1-D-SAPU,5.016
147-1-D-SAPU,5.255
147-1-D-SAPU,5.504
147-1-D-SAPU,4.896
147-2-A-BENA,2.491
147-2-A-BENA,2.215
147-2-A-BENA,2.349
147-2-A-BENA,2.416
147-2-B-SAPU,4.961
147-2-B-SAPU,4.82
147-2-B-SAPU,5.319
147-2-B-SAPU,4.738
147-2-C-SAPU,6.949
147-2-C-SAPU,6.521
147-2-C-SAPU,6.247
147-2-C-SAPU,7.151
147-2-D-BENA,2.358
147-2-D-BENA,2.368
147-2-D-BENA,2.239
147-2-D-BENA,2.151
147-3-A-BENA,2.519
147-3-A-BENA,2.462
147-3-A-BENA,3.543
147-3-A-BENA,3.806
147-3-B-SAPU,7.883
147-3-B-SAPU,8.606
147-3-B-SAPU,8.179
147-3-B-SAPU,8.133
147-3-C-BENA,4.497
147-3-C-BENA,4.558
147-3-C-BENA,4.157
147-3-C-BENA,4.107
147-3-C-SAPU,5.129
147-3-C-SAPU,4.877
147-3-C-SAPU,4.657
147-3-C-SAPU,5.644
147-4-A-BENA,3.37
147-4-A-BENA,3.059
147-4-A-BENA,3.364
147-4-A-BENA,2.771
147-4-A-SAPU,7.354
147-4-A-SAPU,7.862
147-4-A-SAPU,8.088
147-4-A-SAPU,7.588
147-4-C-SAPU,2.342
147-4-C-SAPU,2.373
147-4-C-SAPU,2.723
147-4-C-SAPU,2.728
147-4-D-BENA,2.342
147-4-D-BENA,2.373
147-4-D-BENA,2.723
147-4-D-BENA,2.728
151-1-C-BENA,4.265
151-1-C-BENA,4.831
151-1-C-BENA,5.549
151-1-C-BENA,4.012
151-1-D-BENA,5.711
151-1-D-BENA,4.211
151-1-D-BENA,4.331
151-1-D-BENA,4.605
151-2-A-BENA,5.696
151-2-A-BENA,5.119
151-2-A-BENA,3.955
151-2-A-BENA,3.947
151-2-B-BENA,6.377
151-2-B-BENA,6.218
151-2-B-BENA,5.893
151-2-B-BENA,5.231
151-3-A-BENA,3.746
151-3-A-BENA,3.351
151-3-A-BENA,4.153
151-3-A-BENA,4.054
151-3-C-BENA,4.811
151-3-C-BENA,4.979
151-3-C-BENA,5.649
151-3-C-BENA,5.549
151-4-A-BENA,3.864
151-4-A-BENA,3.012
151-4-A-BENA,3.663
151-4-A-BENA,3.291
151-4-B-SAPU,4.218
151-4-B-SAPU,4.309
151-4-B-SAPU,4.966
151-4-B-SAPU,4.357
151-4-D-BENA,4.008
151-4-D-BENA,3.512
151-4-D-BENA,3.818
151-4-D-BENA,3.528
158-1-A-SAPU,13.69
158-1-A-SAPU,12.03
158-1-A-SAPU,4.961
158-1-A-SAPU,3.367
158-1-B-BENA,3.943
158-1-B-BENA,4.356
158-1-B-BENA,4.9
158-1-B-BENA,4.231
158-1-C-SAPU,7.999
158-1-C-SAPU,7.703
158-1-C-SAPU,9.395
158-1-C-SAPU,11.279
158-1-D-BENA,
158-1-D-BENA,6.866
158-1-D-BENA,4.805
158-1-D-BENA,4.755
158-1-D-SAGL,6.297
158-1-D-SAGL,6.776
158-1-D-SAGL,7.366
158-1-D-SAGL,7.529
158-2-B-BENA,6.809
158-2-B-BENA,4.472
158-2-B-BENA,8.014
158-2-B-BENA,7.247
158-2-C-BENA,2.541
158-2-C-BENA,4.294
158-2-C-BENA,2.748
158-2-C-BENA,2.421
158-2-C-SAPU,12.594
158-2-C-SAPU,10.381
158-2-C-SAPU,4.849
158-2-C-SAPU,7.783
158-2-D-SAPU,4.883
158-2-D-SAPU,4.986
158-2-D-SAPU,5.359
158-2-D-SAPU,4.978
158-3-A-BENA,5.699
158-3-A-BENA,5.431
158-3-A-BENA,6.44
158-3-A-BENA,6.252
158-3-A-SAPU,6.58
158-3-A-SAPU,11.502
158-3-A-SAPU,7.139
158-3-A-SAPU,6.294
158-3-B-SAPU,8.558
158-3-B-SAPU,7.283
158-3-B-SAPU,6.654
158-3-B-SAPU,
158-3-D-BENA,4.966
158-3-D-BENA,5.15
158-3-D-BENA,5.308
158-3-D-BENA,4.842
158-4-A-BENA,6.97
158-4-A-BENA,5.624
