"","Section","ShrubID","SiteID","Species","StemLength","VertHeight","StemDiameter","CanopyCover","MooseBrowse","HareBrowse","PtarmaginBrowse","TotalTwigs","PropMooseBrowse","PropHareBrowse","PropPtarmaginBrowse","BinaryBrowse","Dist_to_Road","Side_of_Road","GMU","GIS_Veg_Coarse","Observed_Veg","SoilTexture","SoilMoisture","LastBurn","Elevation","Aspect","Slope","X_Cord","Y_Cord"
"44",3,"86-2-A-BEGL","86-2","BENA",118,NA,20,0,0,0,0,82,0,0,0,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989
"45",3,"86-2-C-SABE","86-2","SABE",47,NA,7,22,0,0,0,18,0,0,0,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989
"46",3,"86-2-D-SABE","86-2","SABE",144,NA,31,15,0,0,0,91,0,0,0,0,1091.215231,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,576.231995,67,9.004415,-150.278061,66.212989
"47",3,"86-3-C-SABE","86-3","SABE",122,NA,15,7,1,0,0,21,0.047619048,0,0,1,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"48",3,"86-3-D-SABE","86-3","SABE",120,NA,16,0,5,0,0,19,0.263157895,0,0,1,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"49",3,"86-3-D-BEGL","86-3","BENA",167,NA,18,0,0,0,0,12,0,0,0,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"50",3,"86-3-A-BEGL","86-3","BENA",105,NA,18,0,0,0,0,64,0,0,0,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"51",3,"86-3-B-ALVI","86-3","ALVI",109,NA,16,10,0,0,0,18,0,0,0,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"52",3,"86-3-A-ALVI","86-3","ALVI",171,NA,23,26,0,0,0,57,0,0,0,0,1057.338847,"West","20F","Tall Shrub (Open-Closed)","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,571.701965,63,9.459789,-150.277761,66.213303
"53",3,"86-4-A-SABE","86-4","SABE",104,NA,19,18,3,0,0,32,0.09375,0,0,1,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"54",3,"86-4-D-SABE","86-4","SABE",123,NA,12,21,3,0,0,19,0.157894737,0,0,1,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"55",3,"86-4-B-ALVI","86-4","ALVI",131,NA,21,13,0,0,0,28,0,0,0,0,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"56",3,"86-4-C-ALVI","86-4","ALVI",182,NA,26,17,1,0,0,78,0.012820513,0,0,1,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"57",3,"86-4-D-BEGL","86-4","BENA",104,NA,11,0,0,0,0,31,0,0,0,0,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"58",3,"86-4-C-BEGL","86-4","BENA",133,NA,26,0,0,0,0,52,0,0,0,0,1074.730943,"West","20F","Low Shrub","Tall Shrub","Gravely Sand Loam","Mesic - Xeric",0,575.689697,64,9.57597,-150.278532,66.213405
"59",4,"97-1-D-ALVI","97-1","ALVI",156,147,31,0,0,0,0,23,0,0,0,0,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"60",4,"97-1-C-ALVI","97-1","ALVI",119,112,19,31,0,0,0,8,0,0,0,0,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"61",4,"97-1-C-BENA","97-1","BENA",63,29,7,0,0,0,0,3,0,0,0,0,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"62",4,"97-1-D-BENA","97-1","BENA",121,53,14,0,0,0,0,19,0,0,0,0,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"63",4,"97-1-B-SAPU","97-1","SAPU",161,144,25,14,0,0,4,28,0,0,0.142857143,1,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"64",4,"97-1-D-SAPU","97-1","SAPU",89,76,20,18,0,0,0,25,0,0,0,0,926.812684,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,556.594971,67,6.396444,-150.432109,66.348765
"65",4,"97-2-B-SAPU","97-2","SAPU",189,157,30,52,0,0,3,57,0,0,0.052631579,1,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"66",4,"97-2-C-SAPU","97-2","SAPU",118,101,19,0,0,0,0,29,0,0,0,0,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"67",4,"97-2-B-BENA","97-2","BENA",91,53,13,0,0,0,0,26,0,0,0,0,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"68",4,"97-2-A-BENA","97-2","BENA",102,64,9,0,0,0,0,13,0,0,0,0,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"69",4,"97-2-B-ALVI","97-2","ALVI",231,219,39,17,0,0,0,33,0,0,0,0,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"70",4,"97-2-D-ALVI","97-2","ALVI",218,205,46,34,0,0,0,53,0,0,0,0,888.474156,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,560.389526,70,6.330689,-150.43305,66.348843
"71",4,"97-3-A-ALVI","97-3","ALVI",135,119,21,42,0,0,0,17,0,0,0,0,924.995234,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Gravely Sand Loam","Mesic",2004,557.015015,71,7.919354,-150.432427,66.349149
"72",4,"97-3-D-ALVI","97-3","ALVI",189,171,38,8,0,0,0,20,0,0,0,0,924.995234,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Gravely Sand Loam","Mesic",2004,557.015015,71,7.919354,-150.432427,66.349149
"73",4,"97-3-A-BENA","97-3","BENA",91,57,10,0,0,0,0,11,0,0,0,0,924.995234,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Gravely Sand Loam","Mesic",2004,557.015015,71,7.919354,-150.432427,66.349149
"74",4,"97-3-D-BENA","97-3","BENA",75,49,7,21,0,0,0,13,0,0,0,0,924.995234,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Gravely Sand Loam","Mesic",2004,557.015015,71,7.919354,-150.432427,66.349149
"75",4,"97-3-D-SAPU","97-3","SAPU",124,107,24,17,0,0,0,31,0,0,0,0,924.995234,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Tall Shrub","Gravely Sand Loam","Mesic",2004,557.015015,71,7.919354,-150.432427,66.349149
"76",4,"97-4-B-ALVI","97-4","ALVI",155,147,32,17,0,0,0,44,0,0,0,0,898.750829,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,558.840271,63,3.962788,-150.433152,66.349294
"77",4,"97-4-D-ALVI","97-4","ALVI",236,207,44,36,0,0,0,49,0,0,0,0,898.750829,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,558.840271,63,3.962788,-150.433152,66.349294
"78",4,"97-4-D-BENA","97-4","BENA",98,54,13,0,0,0,0,12,0,0,0,0,898.750829,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,558.840271,63,3.962788,-150.433152,66.349294
"79",4,"97-4-B-BENA","97-4","BENA",115,59,12,0,0,0,0,13,0,0,0,0,898.750829,"East","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Gravely Sand Loam","Mesic",2004,558.840271,63,3.962788,-150.433152,66.349294
"80",5,"102-1-D-SAPU","102-1","SAPU",67,NA,13,0,0,0,0,26,0,0,0,0,978.645101,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,428.203827,339,4.033863,-150.565499,66.400721
"81",5,"102-1-C-SAPU","102-1","SAPU",149,NA,21,0,1,0,4,55,0.018181818,0,0.072727273,1,978.645101,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,428.203827,339,4.033863,-150.565499,66.400721
"82",5,"102-1-C-BENA","102-1","BENA",109,NA,11,0,0,0,3,37,0,0,0.081081081,1,978.645101,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,428.203827,339,4.033863,-150.565499,66.400721
"83",5,"102-1-B-BENA","102-1","BENA",81,NA,11,0,0,0,2,18,0,0,0.111111111,1,978.645101,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,428.203827,339,4.033863,-150.565499,66.400721
"84",5,"102-1-A-ALVI","102-1","ALVI",112,NA,23,0,0,0,0,36,0,0,0,0,978.645101,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,428.203827,339,4.033863,-150.565499,66.400721
"85",5,"102-2-A-SAPU","102-2","SAPU",94,NA,13,0,1,0,7,22,0.045454545,0,0.318181818,1,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"86",5,"102-2-C-SAPU","102-2","SAPU",91,NA,21,0,0,0,5,42,0,0,0.119047619,1,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"87",5,"102-2-C-ALVI","102-2","ALVI",125,NA,26,0,0,0,3,51,0,0,0.058823529,1,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"88",5,"102-2-B-ALVI","102-2","ALVI",101,NA,18,0,0,0,0,11,0,0,0,0,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"89",5,"102-2-C-BENA","102-2","BENA",167,NA,16,0,0,0,0,31,0,0,0,0,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"90",5,"102-2-B-BENA","102-2","BENA",63,NA,11,0,0,0,0,9,0,0,0,0,973.266715,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Sandy Loam","Mesic",2004,426.001434,321,4.435797,-150.566012,66.400957
"91",5,"102-3-A-BENA","102-3","BENA",118,NA,7,10,0,0,0,21,0,0,0,0,939.238254,"West","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic",2004,424.339783,330,3.896938,-150.565669,66.401242
"92",5,"102-3-B-BENA","102-3","BENA",72,NA,16,0,0,0,0,12,0,0,0,0,939.238254,"West","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic",2004,424.339783,330,3.896938,-150.565669,66.401242
"93",5,"102-3-D-SAPU","102-3","SAPU",97,NA,16,0,0,0,3,28,0,0,0.107142857,1,939.238254,"West","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic",2004,424.339783,330,3.896938,-150.565669,66.401242
"94",5,"102-3-A-SAPU","102-3","SAPU",138,NA,23,0,2,0,5,32,0.0625,0,0.15625,1,939.238254,"West","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic",2004,424.339783,330,3.896938,-150.565669,66.401242
"95",5,"102-3-D-ALVI","102-3","ALVI",124,NA,24,26,0,0,0,38,0,0,0,0,939.238254,"West","24A","Tussock Tundra (Low shrub or Herbaceous)","Low Shrub","Sandy Loam","Mesic",2004,424.339783,330,3.896938,-150.565669,66.401242
"96",5,"102-4-A-BENA","102-4","BENA",88,NA,11,0,0,0,0,17,0,0,0,0,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"97",5,"102-4-C-BENA","102-4","BENA",97,NA,15,5,0,0,0,9,0,0,0,0,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"98",5,"102-4-A-SAPU","102-4","SAPU",98,NA,17,0,2,0,3,26,0.076923077,0,0.115384615,1,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"99",5,"102-4-C-SAPU","102-4","SAPU",122,NA,18,0,3,0,3,37,0.081081081,0,0.081081081,1,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"100",5,"102-4-B-ALVI","102-4","ALVI",164,NA,26,0,0,0,0,55,0,0,0,0,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"101",5,"102-4-D-ALVI","102-4","ALVI",98,NA,12,0,0,0,0,12,0,0,0,0,934.189604,"West","24A","Low Shrub","Low Shrub","Sandy Loam","Mesic",2004,423.102509,349,3.666453,-150.566049,66.401434
"102",6,"111-1-C-ALVI","111-1","ALVI",136,123,24,31,0,0,0,25,0,0,0,0,640.914524,"West","24A","Tall Shrub (Open-Closed)","Low Shrub","Gravely Sand Loam","Mesic",0,512.854736,12,8.158982,-150.736683,66.498494
