ShrubID;long;lat
255-4-B-BENA;192402.2272;2035788.184
255-4-D-BENA;192402.2272;2035788.184
255-4-D-SAPU;192402.2272;2035788.184
261-1-B-SAPU;193434.4473;2044558.144
261-1-C-BENA;193434.4473;2044558.144
261-1-C-SAPU;193434.4473;2044558.144
261-1-D-BENA;193434.4473;2044558.144
261-2-B-BENA;193468.3513;2044571.268
261-2-C-BENA;193468.3513;2044571.268
261-2-C-SAPU;193468.3513;2044571.268
261-2-D-SAPU;193468.3513;2044571.268
261-3-A-BENA;193462.1525;2044604.296
261-3-A-SAPU;193462.1525;2044604.296
261-3-D-BENA;193462.1525;2044604.296
261-3-D-SAPU;193462.1525;2044604.296
261-4-A-BENA;193488.7061;2044625.769
261-4-A-SAPU;193488.7061;2044625.769
261-4-B-BENA;193488.7061;2044625.769
261-4-B-SAPU;193488.7061;2044625.769
268-1-B-BENA;193716.5336;2055479.971
268-1-C-BENA;193716.5336;2055479.971
268-1-C-SAPU;193716.5336;2055479.971
268-1-D-SAPU;193716.5336;2055479.971
268-2-A-BENA;193742.0183;2055504.916
268-2-A-SAPU;193742.0183;2055504.916
268-2-B-SAPU;193742.0183;2055504.916
268-3-B-SAPU;193718.0121;2055529.808
268-3-C-BENA;193718.0121;2055529.808
268-3-D-SAPU;193718.0121;2055529.808
268-4-C-BENA;193749.8664;2055563.51
268-4-C-SAPU;193749.8664;2055563.51
268-4-D-BENA;193749.8664;2055563.51
268-4-D-SAPU;193749.8664;2055563.51
282-1-B-BENA;183959.9446;2075036.542
282-1-C-SAPU;183959.9446;2075036.542
282-1-D-BENA;183959.9446;2075036.542
282-1-D-SAPU;183959.9446;2075036.542
282-2-A-BENA;183922.2304;2075054.694
282-2-B-BENA;183922.2304;2075054.694
282-2-B-SAPU;183922.2304;2075054.694
282-2-D-SAPU;183922.2304;2075054.694
282-3-A-SAPU;183942.0728;2075088.566
282-3-B-BENA;183942.0728;2075088.566
282-3-D-BENA;183942.0728;2075088.566
282-3-D-SAPU;183942.0728;2075088.566
282-4-A-BENA;183908.3536;2075100.126
282-4-C-BENA;183908.3536;2075100.126
282-4-C-SAPU;183908.3536;2075100.126
282-4-D-SAPU;183908.3536;2075100.126
