"","Shrub_ID_year","iem.summ.temp","iem.temp","iem.summ.rain","iem.wint.rain"
"219","102-1-C-BENA_2004",15.1666666666667,-5.00000007947286,88,130
"220","102-1-C-BENA_2005",13.4000002543132,-5.00833324591319,227,115
"221","102-1-C-BENA_2006",12.2000001271566,-5.95833325386047,212,94
"222","102-1-C-BENA_2007",13.9666665395101,-5.18333339691162,284,69
"223","102-1-C-BENA_2008",12.1666666666667,-6.48333342870076,335,101
"224","102-1-C-BENA_2009",13.233333269755,-5.87499996026357,172,137
"225","102-1-C-BENA_2010",12.733333269755,-5.5,172,160
"226","102-1-C-BENA_2011",12.1333332061768,-6.00833360354106,315,181
"227","102-1-C-BENA_2012",12.3999999364217,-7.37499996026357,208,102
"228","102-1-C-BENA_2013",13.6000000635783,-5.96666655937831,132,298
"229","102-1-C-BENA_2014",11.8666667938232,-4.37499992052714,427,106
"230","102-1-C-BENA_2015",12.4333330790202,-4.65833338101705,213,211
"231","102-1-C-SAPU_1901",11.5333334604899,-7.39166657129924,206,169
"232","102-1-C-SAPU_1902",12.4000002543132,-7.93333329757055,206,169
"233","102-1-C-SAPU_1903",11.9333333969116,-7.9333332379659,136,105
"234","102-1-C-SAPU_1904",12.4666668574015,-7.974999944369,168,80
"235","102-1-C-SAPU_1905",11.6000000635783,-5.7083334363997,308,140
"236","102-1-C-SAPU_1906",11.6333332061768,-7.85000010331472,180,146
"237","102-1-C-SAPU_1907",11.7000001271566,-7.400000055631,194,174
"238","102-1-C-SAPU_1908",12.0333334604899,-6.87500008692344,88,102
"239","102-1-C-SAPU_1909",11.4666665395101,-9.3749999354283,167,106
"240","102-1-C-SAPU_1910",10.8333333333333,-8.54166676600774,155,115
"241","102-1-C-SAPU_1911",11.9000002543132,-7.40833330154419,110,185
"242","102-1-C-SAPU_1912",10.8666664759318,-5.23333346843719,241,125
"243","102-1-C-SAPU_1913",11.8666664759318,-7.22500010331472,145,203
"244","102-1-C-SAPU_1914",12.3666667938232,-5.72499982515971,156,171
"245","102-1-C-SAPU_1915",12.8999996185303,-5.99999996026357,216,156
"246","102-1-C-SAPU_1916",11.7999998728434,-7.49166683355967,212,289
"247","102-1-C-SAPU_1917",11.3999999364217,-8.50833324591319,240,126
"248","102-1-C-SAPU_1918",11.233333269755,-8.40833322207133,213,183
"249","102-1-C-SAPU_1919",11.1000000635783,-7.2166666785876,227,158
"250","102-1-C-SAPU_1920",10.8999999364217,-7.97500004371007,133,135
"251","102-1-C-SAPU_1921",12.3333333333333,-7.11666668454806,132,232
"252","102-1-C-SAPU_1922",10.2333335876465,-7.19999986886978,255,172
"253","102-1-C-SAPU_1923",13.2000001271566,-6.13333316644033,134,124
"254","102-1-C-SAPU_1924",10.6666666666667,-7.58333353201548,237,141
"255","102-1-C-SAPU_1925",11.8333330154419,-7.25833336512248,142,205
"256","102-1-C-SAPU_1926",12.7000001271566,-4.25000005960464,182,147
"257","102-1-C-SAPU_1927",12.5333334604899,-8.03333328167597,153,127
"258","102-1-C-SAPU_1928",11.4666668574015,-5.93333313862483,201,132
"259","102-1-C-SAPU_1929",11.2333335876465,-5.88333300749461,243,226
"260","102-1-C-SAPU_1930",11.7666664123535,-7.46666683753331,332,209
"261","102-1-C-SAPU_1931",10.6333335240682,-6.80833317836126,189,174
"262","102-1-C-SAPU_1932",10.766666730245,-8.14999997615814,259,178
"263","102-1-C-SAPU_1933",10.4666668574015,-8.84166650970777,163,146
"264","102-1-C-SAPU_1934",11.0999997456868,-6.77500007549922,195,64
"265","102-1-C-SAPU_1935",10.9333333969116,-7.56666666269302,189,379
"266","102-1-C-SAPU_1936",13,-6.80000009139379,240,218
"267","102-1-C-SAPU_1937",11.7000001271566,-6.28333334128062,207,92
"268","102-1-C-SAPU_1938",11.5333334604899,-6.19999990860621,234,108
"269","102-1-C-SAPU_1939",11.8666664759318,-7.09166687726974,214,90
"270","102-1-C-SAPU_1940",12.5666669209798,-4.574999888738,128,117
"271","102-1-C-SAPU_1941",12.1666666666667,-6.11666675408681,180,141
"272","102-1-C-SAPU_1942",12.5999997456868,-5.95000008742015,271,118
"273","102-1-C-SAPU_1943",12.0666669209798,-5.88333354393641,154,135
"274","102-1-C-SAPU_1944",11.6333332061768,-6.16666655739148,213,195
"275","102-1-C-SAPU_1945",10.1666666666667,-7.40833315253258,336,189
"276","102-1-C-SAPU_1946",11.6999998092651,-8.14166673024496,132,196
"277","102-1-C-SAPU_1947",10.8666664759318,-7.09999997417132,138,128
"278","102-1-C-SAPU_1948",10.1999999682109,-8.91666659216086,249,182
"279","102-1-C-SAPU_1949",10.3666667938232,-7.07499993840853,196,144
"280","102-1-C-SAPU_1950",12.2333335876465,-6.94999996821086,113,137
"281","102-1-C-SAPU_1951",11.5333334604899,-7.70833335320155,204,165
"282","102-1-C-SAPU_1952",10.8666667938232,-7.23333335419496,205,126
"283","102-1-C-SAPU_1953",12.2999998728434,-6.63333328564962,262,87
"284","102-1-C-SAPU_1954",11.3999999364217,-7.76666659116745,220,119
"285","102-1-C-SAPU_1955",10.8333333333333,-8.6916665037473,251,175
"286","102-1-C-SAPU_1956",11.3333336512248,-9.65833330154419,184,147
"287","102-1-C-SAPU_1957",13.1000000635783,-5.51666665077209,73,155
"288","102-1-C-SAPU_1958",12.8666664759318,-6.29999995231628,174,138
