"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"PropHare"	"PropMoose"	"PropPtarmagin"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"df"	"logLik"	"AICc"	"delta"	"weight"
"287"	0.0873230535043206	NA	0.0486456448800224	0.285973260303504	-0.168929127480603	0.564892711424089	NA	NA	NA	-0.0199998629522196	9	-1698.29036446423	3414.69015142086	13.5515437836261	6.85378873639958e-05
"77"	0.0676700472553887	NA	NA	0.216267155475003	-0.153708074016695	NA	NA	0.814719652141342	NA	NA	7	-1700.33386833385	3414.73573909636	13.5971314591311	6.69933161069221e-05
"365"	-0.0212504051819296	NA	NA	0.217896539044016	-0.166993273563655	NA	1.43429059843901	0.908689430840744	NA	-0.0217656082625704	9	-1698.32351776885	3414.75645803009	13.6178503928645	6.63028834999544e-05
"269"	0.128380601961337	NA	NA	0.214821097749423	-0.166724320561287	NA	NA	NA	NA	-0.0205443593957534	7	-1700.84837934249	3415.76476111364	14.6261534764085	4.00481246090797e-05
"381"	-0.0634518101140738	NA	NA	0.218533576001674	-0.167201532625955	0.895731619935104	1.51592716733823	0.981450677208548	NA	-0.0215729942514305	10	-1697.8973243875	3415.92846872635	14.7898610891189	3.69006084408547e-05
"29"	0.104161401704381	NA	NA	0.211891241490313	-0.15452130402233	0.536601231035314	NA	NA	NA	NA	7	-1700.94849460531	3415.96499163928	14.8263840020459	3.6232865125603e-05
"317"	0.0152772637270916	NA	NA	0.212984652358478	-0.167378671514305	0.722386399756167	1.42736187337335	NA	NA	-0.0206566167229418	9	-1699.01370346833	3416.13682942907	14.9982217918391	3.3249764636073e-05
"333"	0.0719223513105031	NA	NA	0.219577355208568	-0.166644314520701	NA	NA	0.826561934330694	NA	-0.021403431128537	8	-1700.06051985759	3416.20852452684	15.0699168896062	3.20789528161971e-05
"93"	0.03934866937856	NA	NA	0.216817350413619	-0.153959618163249	0.683860792117372	NA	0.868195945164547	NA	NA	8	-1700.08792858949	3416.26334199064	15.1247343534069	3.12116495356554e-05
"285"	0.109207656487843	NA	NA	0.215026026989186	-0.166859255872457	0.530239090445061	NA	NA	NA	-0.020393517407819	8	-1700.70044001019	3417.48836483204	16.3497571948119	1.69163394629664e-05
"349"	0.0438057306373723	NA	NA	0.220099883165804	-0.166808291095461	0.678917466292477	NA	0.879464009722055	NA	-0.0212584523848733	9	-1699.81838693268	3417.74619635776	16.6075887205284	1.48702745569472e-05
"42"	0.0357655627270904	-0.0571672420947749	NA	NA	-0.135880484619084	NA	1.45199981852474	NA	NA	NA	7	-1703.22395106162	3420.5159045519	19.3772969146735	3.72292677733203e-06
"44"	0.0420283069318677	-0.058045293815922	-0.0209789938845734	NA	-0.137790723023723	NA	1.46703666116711	NA	NA	NA	8	-1702.55296170611	3421.19340822387	20.0548005866458	2.65317832978527e-06
"106"	-0.0113823053269335	-0.0570892984641061	NA	NA	-0.135224403224451	NA	1.50319824261214	0.650179572088545	NA	NA	8	-1702.73175016771	3421.55098514709	20.4123775098615	2.21880736698813e-06
"10"	0.124571063452572	-0.0571786401083871	NA	NA	-0.135573935692713	NA	NA	NA	NA	NA	6	-1704.9821149208	3422.01520071538	20.8765930781547	1.75920507538074e-06
"58"	0.00771971693566797	-0.0571020541423023	NA	NA	-0.136146601063191	0.684345596301333	1.50955773675825	NA	NA	NA	8	-1702.97612638117	3422.03973757401	20.9011299367794	1.73775424531777e-06
"108"	-0.00590995272004855	-0.0579795692518492	-0.0212822727234226	NA	-0.137153209555904	NA	1.51836619164571	0.663932922090552	NA	NA	9	-1702.04134825655	3422.1921190055	21.0535113682731	1.61027166412815e-06
